epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1604,1.14499,1.94335,1.47659,0.7103,0.67901,0.77915,0.48469,1.20109,2.03154,1.80598,0.000657005,0.000657005,0.000657005
2,90.2623,1.33108,1.2236,1.58772,0.00889,0.66154,0.00784,0.00331,2.11253,182.47,2.58883,0.00131057,0.00131057,0.00131057
3,132.687,1.35245,1.12317,1.59378,0.50705,0.49231,0.45301,0.21537,1.81629,3.82232,2.48778,0.00195093,0.00195093,0.00195093
4,176.101,1.34528,1.12309,1.6176,0.54876,0.46154,0.49423,0.23587,1.61386,4.89985,2.03258,0.0019406,0.0019406,0.0019406
5,218.59,1.25446,1.03545,1.55542,0.79473,0.70769,0.82933,0.53406,1.2688,1.42357,1.72926,0.0019208,0.0019208,0.0019208
6,261.668,1.26834,0.98305,1.565,0.75526,0.90769,0.89353,0.60696,1.14655,0.96432,1.60395,0.001901,0.001901,0.001901
7,303.352,1.2043,0.91406,1.51668,0.94646,0.78462,0.84829,0.5504,1.33092,1.32812,1.80026,0.0018812,0.0018812,0.0018812
8,346.725,1.2075,0.90959,1.4957,0.80113,0.8,0.83872,0.54035,1.36386,1.12593,1.75883,0.0018614,0.0018614,0.0018614
9,394.347,1.15673,0.87389,1.43925,1,0.90506,0.9519,0.69113,0.97121,0.68187,1.36454,0.0018416,0.0018416,0.0018416
10,446.045,1.14206,0.83996,1.44,0.8871,0.86154,0.91233,0.66536,1.14194,1.15271,1.5783,0.0018218,0.0018218,0.0018218
11,486.603,1.15484,0.85521,1.44458,0.96682,0.89667,0.93572,0.65733,1.0953,0.99965,1.4947,0.001802,0.001802,0.001802
12,529.877,1.09868,0.80421,1.4295,0.98306,0.89266,0.92766,0.69399,0.96351,0.76879,1.39822,0.0017822,0.0017822,0.0017822
13,566.916,1.07907,0.77724,1.42076,0.96776,0.92365,0.96758,0.73699,1.00683,0.6989,1.43556,0.0017624,0.0017624,0.0017624
14,640.538,1.09789,0.78194,1.41358,0.94832,0.90769,0.95783,0.7259,1.01947,0.61652,1.49311,0.0017426,0.0017426,0.0017426
15,684.583,1.01905,0.71656,1.35785,0.92285,0.93846,0.96059,0.71179,1.12019,0.61476,1.64258,0.0017228,0.0017228,0.0017228
16,730.603,1.03621,0.72314,1.36835,0.95383,0.95341,0.97804,0.7531,0.92552,0.57782,1.32417,0.001703,0.001703,0.001703
17,770.784,1.04966,0.73831,1.37418,0.96805,0.93237,0.96966,0.75394,0.92731,0.58658,1.32845,0.0016832,0.0016832,0.0016832
18,811.377,1.02042,0.70094,1.33623,0.96869,0.95206,0.97883,0.77304,0.98216,0.55131,1.39795,0.0016634,0.0016634,0.0016634
19,855.058,0.95129,0.65916,1.31746,0.98387,0.9382,0.97673,0.72703,1.07693,0.5603,1.53108,0.0016436,0.0016436,0.0016436
20,901.43,0.98305,0.66868,1.33071,0.96767,0.92085,0.96124,0.70925,0.99688,1.12296,1.48091,0.0016238,0.0016238,0.0016238
21,946.117,0.98686,0.66803,1.3223,0.97246,0.95385,0.97497,0.73226,0.94746,0.55062,1.37252,0.001604,0.001604,0.001604
22,988.829,0.97973,0.6633,1.32423,1,0.88824,0.96343,0.73805,0.96078,0.56783,1.35752,0.0015842,0.0015842,0.0015842
23,1029.46,0.97152,0.65939,1.30348,0.95171,0.93846,0.97439,0.74052,0.97913,0.53632,1.36569,0.0015644,0.0015644,0.0015644
24,1067.48,0.92241,0.63969,1.29033,0.96531,0.93846,0.97054,0.72321,0.90123,0.58281,1.37117,0.0015446,0.0015446,0.0015446
25,1109.16,0.9478,0.62445,1.28644,0.98363,0.92469,0.97431,0.73741,1.10028,0.56867,1.46924,0.0015248,0.0015248,0.0015248
26,1155,0.91994,0.6153,1.295,0.9815,0.95385,0.97652,0.73309,1.05549,0.52715,1.47621,0.001505,0.001505,0.001505
27,1194.75,0.90509,0.58794,1.27392,0.98436,0.96857,0.98121,0.75921,0.94493,0.54215,1.28386,0.0014852,0.0014852,0.0014852
28,1236.51,0.91076,0.59645,1.28638,0.9978,0.95385,0.98252,0.76898,0.96713,0.48867,1.41158,0.0014654,0.0014654,0.0014654
29,1284.84,0.9321,0.60754,1.27333,0.98246,0.95385,0.98001,0.74478,1.00475,0.50596,1.46191,0.0014456,0.0014456,0.0014456
30,1327.09,0.88204,0.5794,1.26542,0.95611,0.93846,0.96985,0.72504,1.053,0.61612,1.5324,0.0014258,0.0014258,0.0014258
31,1370.41,0.8434,0.56014,1.24408,0.95521,0.98434,0.9835,0.74231,0.94576,0.47463,1.2893,0.001406,0.001406,0.001406
32,1414.83,0.88773,0.57628,1.25176,0.98122,0.93846,0.98259,0.76938,0.9197,0.47117,1.35326,0.0013862,0.0013862,0.0013862
33,1455.43,0.87697,0.55951,1.25453,0.99577,0.93846,0.96452,0.75845,0.96556,0.63023,1.36313,0.0013664,0.0013664,0.0013664
34,1506.53,0.85409,0.54753,1.23013,0.98078,0.93846,0.9724,0.75825,0.98547,0.49045,1.41827,0.0013466,0.0013466,0.0013466
35,1554.43,0.84479,0.55457,1.23142,0.98149,0.93846,0.95501,0.6949,1.05368,0.5923,1.49948,0.0013268,0.0013268,0.0013268
36,1594.7,0.84822,0.57339,1.23255,0.99694,0.95385,0.96949,0.73234,0.94012,0.50836,1.41097,0.001307,0.001307,0.001307
37,1635.73,0.84122,0.54066,1.20859,0.99837,0.95385,0.98299,0.78395,0.87209,0.44647,1.32336,0.0012872,0.0012872,0.0012872
38,1674.85,0.80218,0.51913,1.20304,0.97559,0.95385,0.98145,0.80513,0.96955,0.48943,1.41754,0.0012674,0.0012674,0.0012674
39,1741.66,0.82082,0.51698,1.21219,0.97651,0.95385,0.98085,0.78487,0.95888,0.51195,1.53261,0.0012476,0.0012476,0.0012476
40,1785.78,0.78455,0.49747,1.19223,0.99687,0.95385,0.98406,0.76859,0.98949,0.53978,1.50826,0.0012278,0.0012278,0.0012278
41,1829.92,0.8185,0.50671,1.21617,1,0.93383,0.97906,0.75887,1.00524,0.52979,1.59257,0.001208,0.001208,0.001208
