epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1880.34,0.80475,0.5164,1.20097,0.97948,0.92308,0.98036,0.77218,0.9548,0.47373,1.48917,0.0011882,0.0011882,0.0011882
43,1922.99,0.79537,0.51237,1.20156,0.9962,0.95385,0.9796,0.78234,0.93362,0.48789,1.42216,0.0011684,0.0011684,0.0011684
44,1963.61,0.78675,0.49581,1.19014,0.98401,0.94653,0.98121,0.78012,0.9379,0.43957,1.39363,0.0011486,0.0011486,0.0011486
45,2006.1,0.77618,0.48948,1.19572,0.96911,0.96923,0.97958,0.77535,0.95875,0.518,1.45957,0.0011288,0.0011288,0.0011288
46,2046.73,0.78115,0.49534,1.18166,0.98411,0.95292,0.98355,0.7955,0.83641,0.46491,1.26285,0.001109,0.001109,0.001109
47,2087.03,0.77285,0.4894,1.17481,0.98299,0.95385,0.98318,0.76983,0.93915,0.51266,1.50528,0.0010892,0.0010892,0.0010892
48,2126.74,0.79288,0.50421,1.18499,1,0.94941,0.98183,0.7718,0.9528,0.49077,1.44605,0.0010694,0.0010694,0.0010694
49,2165.44,0.76328,0.49474,1.16174,0.9958,0.95385,0.98258,0.7909,0.88261,0.41144,1.35964,0.0010496,0.0010496,0.0010496
50,2208.83,0.77362,0.47956,1.17016,0.98154,0.96923,0.98358,0.77397,0.99619,0.46244,1.45223,0.0010298,0.0010298,0.0010298
51,2256.32,0.75685,0.47231,1.17202,0.9684,0.94288,0.95892,0.76875,0.8294,0.53849,1.28848,0.00101,0.00101,0.00101
52,2300.11,0.79017,0.47931,1.17914,0.99824,0.95385,0.98468,0.8024,0.94354,0.41955,1.4248,0.0009902,0.0009902,0.0009902
53,2339.12,0.73873,0.46256,1.15554,0.99765,0.95385,0.98459,0.80462,0.88145,0.4098,1.36199,0.0009704,0.0009704,0.0009704
54,2387.89,0.72169,0.44728,1.14176,0.98458,0.98218,0.98506,0.78925,0.86067,0.41089,1.2987,0.0009506,0.0009506,0.0009506
55,2434.6,0.73675,0.46847,1.14971,0.9988,0.96923,0.98471,0.79499,0.88548,0.43029,1.41028,0.0009308,0.0009308,0.0009308
56,2475.83,0.73511,0.4532,1.14515,0.99574,0.95385,0.98359,0.77714,0.93204,0.43069,1.31236,0.000911,0.000911,0.000911
57,2518.9,0.70887,0.45646,1.13238,0.98406,0.94959,0.98276,0.77629,0.94616,0.4346,1.45547,0.0008912,0.0008912,0.0008912
58,2557.36,0.70411,0.42823,1.13286,0.99557,0.96923,0.98549,0.80087,0.89798,0.39794,1.40794,0.0008714,0.0008714,0.0008714
59,2597.63,0.69778,0.43153,1.13045,0.99757,0.95385,0.9822,0.79333,1.0112,0.4222,1.61944,0.0008516,0.0008516,0.0008516
60,2640.85,0.71005,0.44184,1.12538,0.96674,0.96923,0.98175,0.79479,0.89036,0.48656,1.44271,0.0008318,0.0008318,0.0008318
61,2688.19,0.6836,0.42961,1.12127,1,0.95084,0.98434,0.80212,0.96918,0.4264,1.58054,0.000812,0.000812,0.000812
62,2727.63,0.68679,0.43169,1.11213,0.98381,0.93846,0.98189,0.79366,0.92063,0.43487,1.48663,0.0007922,0.0007922,0.0007922
63,2765.53,0.67637,0.42983,1.12057,0.98244,0.95385,0.9835,0.79824,0.95605,0.42647,1.59977,0.0007724,0.0007724,0.0007724
64,2815.17,0.67345,0.42411,1.11847,0.99051,0.95385,0.98438,0.77704,0.90769,0.43178,1.50475,0.0007526,0.0007526,0.0007526
65,2853.95,0.64972,0.41459,1.10655,0.98198,0.96923,0.98333,0.80423,0.84854,0.39289,1.42806,0.0007328,0.0007328,0.0007328
66,2896.53,0.66859,0.41152,1.11508,0.96421,0.96923,0.9723,0.78688,0.93234,0.39983,1.48568,0.000713,0.000713,0.000713
67,2944.58,0.66865,0.41524,1.10494,1,0.95126,0.98376,0.80678,0.9171,0.41001,1.41002,0.0006932,0.0006932,0.0006932
68,2981.66,0.65771,0.40998,1.09748,1,0.96136,0.98504,0.81454,0.95228,0.39685,1.54612,0.0006734,0.0006734,0.0006734
69,3022.98,0.64112,0.40449,1.08711,0.98433,0.96646,0.98431,0.81506,0.92362,0.39977,1.41769,0.0006536,0.0006536,0.0006536
70,3062.93,0.64121,0.39998,1.09072,0.9875,0.96923,0.98518,0.8131,0.98112,0.38245,1.49321,0.0006338,0.0006338,0.0006338
71,3106.95,0.64896,0.40203,1.09872,0.98452,0.97829,0.98488,0.80394,0.92534,0.37125,1.45561,0.000614,0.000614,0.000614
72,3153.27,0.62458,0.39257,1.0813,0.98433,0.96627,0.98282,0.80626,0.94212,0.39489,1.50738,0.0005942,0.0005942,0.0005942
73,3193.54,0.62724,0.38815,1.0944,1,0.96825,0.98512,0.80083,0.94341,0.40221,1.5555,0.0005744,0.0005744,0.0005744
74,3234.69,0.61583,0.38732,1.07256,0.99656,0.96923,0.98563,0.79456,0.98651,0.39794,1.53679,0.0005546,0.0005546,0.0005546
75,3276.42,0.63121,0.38818,1.0819,0.99764,0.95385,0.9844,0.81512,0.92607,0.39603,1.48394,0.0005348,0.0005348,0.0005348
76,3324.84,0.62201,0.38773,1.07303,0.98453,0.97908,0.98561,0.81518,0.86627,0.38867,1.32795,0.000515,0.000515,0.000515
77,3368.68,0.59163,0.36895,1.07356,1,0.98257,0.9862,0.81639,0.87176,0.36187,1.33334,0.0004952,0.0004952,0.0004952
78,3409.74,0.61799,0.37886,1.06635,1,0.95082,0.96768,0.78451,0.92653,0.3946,1.44752,0.0004754,0.0004754,0.0004754
79,3452.89,0.58358,0.36281,1.0661,0.99861,0.96923,0.98455,0.80412,0.91786,0.37605,1.42886,0.0004556,0.0004556,0.0004556
80,3498.75,0.59915,0.36966,1.06547,0.99966,0.96923,0.98485,0.80791,0.86108,0.36851,1.40594,0.0004358,0.0004358,0.0004358
81,3540.94,0.56453,0.36562,1.04523,1,0.96845,0.98551,0.79908,0.85606,0.35436,1.37804,0.000416,0.000416,0.000416
82,3584.64,0.57139,0.36781,1.05776,1,0.96717,0.9856,0.80404,0.91614,0.36054,1.4416,0.0003962,0.0003962,0.0003962
83,3626.42,0.57747,0.36627,1.05265,0.99497,0.96923,0.98573,0.80766,0.92769,0.37516,1.48833,0.0003764,0.0003764,0.0003764
84,3677.68,0.55984,0.35117,1.0545,0.99759,0.96923,0.98505,0.79568,0.96485,0.38916,1.59584,0.0003566,0.0003566,0.0003566
85,3717.67,0.5438,0.34675,1.04119,0.99871,0.96923,0.984,0.80747,0.95257,0.37913,1.51812,0.0003368,0.0003368,0.0003368
86,3761.1,0.56655,0.35157,1.0467,0.98356,0.96923,0.98446,0.79785,0.89595,0.37999,1.48136,0.000317,0.000317,0.000317
87,3801.58,0.54816,0.34243,1.03149,0.98436,0.96831,0.98372,0.8091,0.91592,0.36958,1.47444,0.0002972,0.0002972,0.0002972
88,3841.6,0.54708,0.35374,1.04911,0.98351,0.96923,0.98423,0.81238,0.8342,0.36331,1.38712,0.0002774,0.0002774,0.0002774
89,3890.84,0.53645,0.33902,1.03954,0.98129,0.96923,0.98467,0.80294,0.91581,0.36159,1.42676,0.0002576,0.0002576,0.0002576
90,3934.57,0.52109,0.33133,1.02356,0.99811,0.95385,0.98507,0.79503,0.86332,0.34965,1.36292,0.0002378,0.0002378,0.0002378
91,3997.79,0.49562,0.28724,1.01598,0.9796,0.95385,0.97916,0.78828,0.88697,0.38593,1.41829,0.000218,0.000218,0.000218
92,4041.27,0.4715,0.27448,0.99492,0.98139,0.95385,0.98309,0.80834,0.8766,0.35269,1.41767,0.0001982,0.0001982,0.0001982
93,4081.69,0.46293,0.26286,0.98507,0.98208,0.95385,0.98369,0.81088,0.85791,0.3581,1.39966,0.0001784,0.0001784,0.0001784
94,4121.06,0.4524,0.26976,0.97868,0.99856,0.95385,0.98462,0.80308,0.90052,0.35072,1.48377,0.0001586,0.0001586,0.0001586
95,4161.73,0.44644,0.25941,0.98101,0.96956,0.98462,0.9848,0.82395,0.87721,0.36498,1.4215,0.0001388,0.0001388,0.0001388
96,4201.97,0.42204,0.25256,0.96327,0.99642,0.95385,0.98527,0.82342,0.8561,0.33868,1.38591,0.000119,0.000119,0.000119
97,4243.38,0.44901,0.25692,0.97138,0.9681,0.98462,0.98524,0.81659,0.86931,0.3597,1.42989,9.92e-05,9.92e-05,9.92e-05
98,4283.68,0.43173,0.25843,0.96219,0.96695,0.98462,0.98525,0.81981,0.87215,0.35638,1.41826,7.94e-05,7.94e-05,7.94e-05
99,4326.68,0.42715,0.25023,0.97186,0.96684,0.98462,0.98534,0.82661,0.86741,0.35451,1.41969,5.96e-05,5.96e-05,5.96e-05
100,4372.39,0.4261,0.24813,0.96624,0.96533,0.98462,0.98532,0.8224,0.87708,0.35473,1.43961,3.98e-05,3.98e-05,3.98e-05
