epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.1,0.89807,0.95074,1.13154,0.94048,0.84458,0.88957,0.63508,1.06461,0.80477,1.30649,0.00066581,0.00066581,0.00066581
2,235.456,0.92124,0.67585,1.14435,0.90806,0.85279,0.89938,0.64814,0.99127,0.71862,1.35262,0.00130609,0.00130609,0.00130609
3,348.943,0.88938,0.62726,1.12584,0.96376,0.86813,0.92622,0.68669,0.94759,0.59854,1.17896,0.00191998,0.00191998,0.00191998
4,463.916,0.85108,0.5832,1.10258,0.96606,0.89639,0.94472,0.71254,0.90877,0.54426,1.15909,0.0018812,0.0018812,0.0018812
5,576.726,0.81426,0.53632,1.08051,0.9405,0.88226,0.9255,0.68931,0.94059,0.58996,1.19556,0.0018416,0.0018416,0.0018416
6,690.352,0.78976,0.5056,1.0679,0.95385,0.90841,0.94321,0.7091,0.91608,0.53036,1.1436,0.001802,0.001802,0.001802
7,802.077,0.75988,0.47731,1.04184,0.93213,0.90557,0.92032,0.7018,0.88869,0.58229,1.14748,0.0017624,0.0017624,0.0017624
8,914.757,0.75358,0.46056,1.03808,0.98007,0.91209,0.95884,0.75155,0.84902,0.45981,1.05736,0.0017228,0.0017228,0.0017228
9,1027.29,0.74621,0.4573,1.04456,0.96974,0.90561,0.95333,0.74185,0.86157,0.46196,1.11323,0.0016832,0.0016832,0.0016832
10,1139.08,0.72677,0.43692,1.02748,0.95206,0.92308,0.94407,0.72513,0.86143,0.46047,1.09486,0.0016436,0.0016436,0.0016436
11,1250.79,0.70907,0.42402,1.01748,0.97483,0.91186,0.95537,0.73606,0.86976,0.46313,1.09087,0.001604,0.001604,0.001604
12,1362.94,0.70606,0.41685,1.01157,0.97054,0.91994,0.9546,0.74405,0.85834,0.4558,1.09567,0.0015644,0.0015644,0.0015644
13,1475.43,0.69289,0.40802,1.01465,0.96581,0.93118,0.96292,0.75449,0.84231,0.44152,1.0711,0.0015248,0.0015248,0.0015248
14,1586.8,0.6884,0.39689,1.00743,0.9654,0.9325,0.95839,0.75492,0.84823,0.44154,1.0696,0.0014852,0.0014852,0.0014852
15,1698.43,0.68408,0.39155,1.00223,0.9622,0.92308,0.96302,0.74866,0.85354,0.45023,1.10821,0.0014456,0.0014456,0.0014456
16,1810.61,0.67505,0.38194,0.99854,0.96105,0.9297,0.96191,0.7556,0.844,0.43619,1.07579,0.001406,0.001406,0.001406
17,1922.45,0.66381,0.38594,0.99371,0.98086,0.89482,0.95395,0.75203,0.83512,0.4919,1.08228,0.0013664,0.0013664,0.0013664
18,2034.54,0.66711,0.37796,0.99426,0.97467,0.90608,0.95425,0.75191,0.84428,0.44136,1.06222,0.0013268,0.0013268,0.0013268
19,2146.7,0.65423,0.37186,0.99141,0.98184,0.91837,0.96099,0.7591,0.83708,0.42089,1.0598,0.0012872,0.0012872,0.0012872
20,2258.38,0.65339,0.36777,0.98763,0.96521,0.91467,0.96213,0.76612,0.83173,0.41803,1.06492,0.0012476,0.0012476,0.0012476
21,2370.15,0.64007,0.36069,0.98018,0.9822,0.92151,0.96763,0.77008,0.8216,0.40188,1.0467,0.001208,0.001208,0.001208
22,2482.64,0.63186,0.35678,0.98047,0.96363,0.92936,0.95594,0.75161,0.84794,0.44925,1.06208,0.0011684,0.0011684,0.0011684
23,2594.71,0.628,0.3541,0.97705,0.97825,0.91786,0.96509,0.75786,0.83695,0.41034,1.05507,0.0011288,0.0011288,0.0011288
24,2705.93,0.62441,0.35276,0.97302,0.97694,0.91052,0.95561,0.7599,0.84584,0.43625,1.06907,0.0010892,0.0010892,0.0010892
25,2818.69,0.61826,0.34738,0.97358,0.96107,0.93013,0.96012,0.76566,0.80254,0.39961,1.01366,0.0010496,0.0010496,0.0010496
26,2930.77,0.61763,0.34349,0.97088,0.97006,0.90581,0.94475,0.75403,0.84202,0.43268,1.08305,0.00101,0.00101,0.00101
27,3042.2,0.60189,0.33703,0.96611,0.95966,0.92308,0.95364,0.76219,0.84587,0.43825,1.07767,0.0009704,0.0009704,0.0009704
28,3192.69,0.60723,0.333,0.96493,0.98639,0.91,0.96226,0.78025,0.81426,0.40926,1.03545,0.0009308,0.0009308,0.0009308
29,3313.26,0.59294,0.32466,0.95789,0.97512,0.92272,0.96372,0.77555,0.81817,0.4059,1.04238,0.0008912,0.0008912,0.0008912
30,3444.44,0.58188,0.32263,0.95659,0.98022,0.93342,0.96934,0.78783,0.79449,0.39512,1.01782,0.0008516,0.0008516,0.0008516
31,3556.58,0.58083,0.31579,0.95383,0.98002,0.92405,0.96026,0.78396,0.78832,0.40706,1.01045,0.000812,0.000812,0.000812
32,3668.65,0.57643,0.31445,0.95103,0.97982,0.91465,0.95823,0.77064,0.81269,0.42314,1.04426,0.0007724,0.0007724,0.0007724
33,3780.94,0.57053,0.31183,0.95161,0.97207,0.92888,0.9638,0.78968,0.77751,0.38993,1.00364,0.0007328,0.0007328,0.0007328
34,3898.31,0.57185,0.3084,0.94623,0.97667,0.93093,0.96138,0.7839,0.7756,0.3779,0.9913,0.0006932,0.0006932,0.0006932
35,4010.63,0.55929,0.30434,0.94454,0.98167,0.92469,0.96564,0.78936,0.77582,0.36808,1.0056,0.0006536,0.0006536,0.0006536
36,4122.03,0.55019,0.29992,0.94311,0.97857,0.93192,0.9694,0.78921,0.77572,0.37718,0.99347,0.000614,0.000614,0.000614
37,4234.17,0.55106,0.29647,0.93969,0.97731,0.92622,0.96594,0.79063,0.79803,0.37661,1.02367,0.0005744,0.0005744,0.0005744
38,4347.33,0.54093,0.29158,0.94118,0.96764,0.93895,0.95959,0.77865,0.80026,0.38989,1.03671,0.0005348,0.0005348,0.0005348
39,4459.83,0.5387,0.28987,0.93975,0.97755,0.92308,0.96009,0.787,0.78224,0.37932,1.00294,0.0004952,0.0004952,0.0004952
40,4572.2,0.5242,0.28365,0.93178,0.97566,0.92622,0.96241,0.79009,0.77825,0.38076,1.00218,0.0004556,0.0004556,0.0004556
41,4703.49,0.56184,0.25558,0.92117,0.98511,0.92308,0.96596,0.79491,0.78685,0.37894,1.00857,0.000416,0.000416,0.000416
42,4814.88,0.54604,0.24646,0.91433,0.96776,0.94252,0.96411,0.78941,0.78791,0.38586,1.01666,0.0003764,0.0003764,0.0003764
43,4927.09,0.53825,0.24089,0.90854,0.97536,0.93215,0.96316,0.78974,0.78783,0.39364,1.02042,0.0003368,0.0003368,0.0003368
44,5039.72,0.52696,0.23613,0.90724,0.97701,0.93388,0.96706,0.80114,0.76632,0.37889,1.00548,0.0002972,0.0002972,0.0002972
45,5151.32,0.52237,0.23495,0.90103,0.98233,0.93564,0.96753,0.80092,0.75874,0.3612,0.99112,0.0002576,0.0002576,0.0002576
46,5262.57,0.51173,0.225,0.89684,0.98105,0.93564,0.96643,0.79713,0.77683,0.36657,1.00377,0.000218,0.000218,0.000218
47,5375.25,0.506,0.22335,0.89353,0.98175,0.92885,0.9663,0.79746,0.76953,0.36689,0.99684,0.0001784,0.0001784,0.0001784
48,5486.98,0.49742,0.21949,0.89221,0.98665,0.92151,0.96651,0.80093,0.77228,0.36734,0.9992,0.0001388,0.0001388,0.0001388
49,5598.31,0.48764,0.21702,0.89174,0.98342,0.93125,0.96693,0.80123,0.76652,0.3592,0.99758,9.92e-05,9.92e-05,9.92e-05
50,5710.62,0.4864,0.21511,0.88869,0.97091,0.93721,0.96857,0.80559,0.75868,0.36096,0.99321,5.96e-05,5.96e-05,5.96e-05
