epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4638.87,0.43873,0.27964,0.86376,0.94374,0.92599,0.98927,0.87335,0.35286,0.18277,0.82947,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4778.74,0.44111,0.281,0.86429,0.89115,0.94601,0.9828,0.87269,0.35486,0.18496,0.83091,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4921.3,0.43791,0.2803,0.86345,0.93873,0.91458,0.97675,0.86709,0.35132,0.18061,0.82916,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5063.04,0.43729,0.27684,0.86269,0.93536,0.93784,0.98522,0.87564,0.34981,0.18044,0.82887,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5203.44,0.43764,0.27803,0.86321,0.94677,0.90551,0.98303,0.87089,0.34728,0.17734,0.82808,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5343.92,0.43502,0.27589,0.8632,0.94293,0.92865,0.98971,0.87438,0.34788,0.17448,0.82825,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5483.53,0.43142,0.27224,0.85911,0.94149,0.92661,0.99036,0.88067,0.34847,0.17455,0.82723,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5634.21,0.43124,0.27083,0.86109,0.93323,0.93384,0.97836,0.87487,0.34482,0.17318,0.82817,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5775.27,0.42833,0.26724,0.86003,0.88934,0.94519,0.98083,0.8715,0.34513,0.17308,0.82823,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5914.99,0.42573,0.26613,0.86123,0.93146,0.93833,0.98472,0.87192,0.34308,0.17474,0.82762,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6054.39,0.42621,0.266,0.86025,0.93576,0.93015,0.9722,0.86358,0.34224,0.17225,0.82744,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6194,0.42479,0.2652,0.86077,0.94622,0.94594,0.99045,0.88548,0.33989,0.17032,0.82767,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6334.18,0.42312,0.26086,0.85992,0.94524,0.94438,0.98568,0.8777,0.34104,0.16913,0.8265,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6473.42,0.41984,0.2594,0.85928,0.88302,0.96035,0.98364,0.87436,0.3391,0.17059,0.82621,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6613.52,0.42061,0.26059,0.8567,0.92558,0.96133,0.97287,0.869,0.34037,0.16822,0.82589,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6753.44,0.41699,0.26025,0.85597,0.93282,0.9464,0.98519,0.87715,0.33864,0.16712,0.82625,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6893.6,0.41708,0.25729,0.85752,0.94677,0.93316,0.98413,0.88258,0.33654,0.16778,0.82537,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7034.09,0.41773,0.25936,0.85709,0.91804,0.96606,0.98991,0.87575,0.33639,0.16716,0.82633,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7174.03,0.41472,0.25583,0.85544,0.92462,0.96657,0.98527,0.87121,0.33554,0.16585,0.82483,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7314.02,0.41276,0.25376,0.85561,0.89481,0.95907,0.98308,0.87544,0.33252,0.16341,0.8242,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7454.85,0.41192,0.25249,0.85457,0.9482,0.95615,0.98466,0.87157,0.3334,0.16316,0.82388,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7594.76,0.40946,0.25113,0.8554,0.95867,0.94201,0.9858,0.88214,0.33262,0.16156,0.82425,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7739.06,0.40912,0.2484,0.85609,0.93879,0.93562,0.98593,0.88414,0.33154,0.16216,0.8236,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
